id,ad_title,city,state,country,currency_symbol,category,subcategory,skuid,mrp,sellingprice,countryoforigin,manufacturername,packerdetails,additionaldescription,searchkeywords,keyfeatures,videourl,quantity,postalcode,salespackage,brand,condition,isvariant,updated_at_product,rejection_reason,images,attributes_specification
67892,AP Exhaust Products 8591 ASTRO/SAFARI VAN 2.5L/4.3L MUFFLER  CHALLENGE,,,,USD,Electronics,CameraPhotography,APE3226,59.92,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:12 GMT+0530 (India Standard Time),,1703845632645_desktop.jpg,{}
67813,AP Exhaust Products PREBENT PIPE,,,,USD,Electronics,CameraPhotography,APE28826,87.10,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:11 GMT+0530 (India Standard Time),,1703845632068_desktop.jpg,{}
67803,AP Exhaust Products PREBENT PIPE,,,,USD,Electronics,CameraPhotography,APE28817,18.09,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:11 GMT+0530 (India Standard Time),,1703845631904_desktop.jpg,{}
67766,AP Exhaust Products 0413 HIGHLANDER EXHAUST PIPE,,,,USD,Electronics,CameraPhotography,APE28784,66.07,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:11 GMT+0530 (India Standard Time),,1703845631952_desktop.jpg,{}
67776,AP Exhaust Products MUFFLER  CHALLENGE,,,,USD,Electronics,CameraPhotography,APE2943,68.55,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:11 GMT+0530 (India Standard Time),,1703845631926_desktop.jpg,{}
67763,AP Exhaust Products PREBENT PIPE,,,,USD,Electronics,CameraPhotography,APE28726,32.33,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:11 GMT+0530 (India Standard Time),,1703845632121_desktop.jpg,{}
67733,AP Exhaust Products PREBENT PIPE,,,,USD,Electronics,CameraPhotography,APE28724,24.20,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:11 GMT+0530 (India Standard Time),,1703845631971_desktop.jpg,{}
67795,AP Exhaust Products MUFFLER  WELDED ASSEMBLY,,,,USD,Electronics,CameraPhotography,APE30004,184.87,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:11 GMT+0530 (India Standard Time),,1703845631936_desktop.jpg,{}
67886,AP Exhaust Products PREBENT PIPE  CHERRY BOMB 180DEGREE UPIPE 3IN3IN X 8IN,,,,USD,Electronics,CameraPhotography,APE320467CB,34.20,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:12 GMT+0530 (India Standard Time),,1703845632617_desktop.jpg,{}
67857,AP Exhaust Products 7993 VOLVO 200 SERIES 2.3L MUFFLER  CHALLENGE,,,,USD,Electronics,CameraPhotography,APE3031,55.88,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:12 GMT+0530 (India Standard Time),,1703845632862_desktop.jpg,{}
67835,AP Exhaust Products MUFFLER  WELDED ASSEMBLY,,,,USD,Electronics,CameraPhotography,APE30027,80.96,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:12 GMT+0530 (India Standard Time),,1703845632540_desktop.jpg,{}
67846,AP Exhaust Products STRAIGHT TUBING  3.00IN X 10FT 409SS 14GAUGE,,,,USD,Electronics,CameraPhotography,APE300S1014,70.27,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:12 GMT+0530 (India Standard Time),,1703845632967_desktop.jpg,{}
67897,AP Exhaust Products MUFFLER  CHALLENGE,,,,USD,Electronics,CameraPhotography,APE3235,44.10,0.00,USA,aFe Power,Auto Mobile parts,autoparts,"Autoparts, automobile parts, parts",,none,12,,Parts,AP Exhaust Products,New,Simple,Fri Dec 29 2023 15:57:12 GMT+0530 (India Standard Time),,1703845632650_desktop.jpg,{}
